Track 1: Piano right
MetaMessage('track_name', name='Piano right', time=0)
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=91 value=127 time=0
MetaMessage('text', text='bdca426d104a26ac9dcb070447587523', time=0)
note_on channel=0 note=76 velocity=36 time=480
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=33 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=39 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=36 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=45 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=71 velocity=40 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=74 velocity=47 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=72 velocity=39 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=69 velocity=51 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=60 velocity=34 time=120
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=64 velocity=38 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=69 velocity=42 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=71 velocity=46 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=64 velocity=36 time=120
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=68 velocity=39 time=0
note_on channel=0 note=68 velocity=0 time=120
note_on channel=0 note=71 velocity=42 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=72 velocity=45 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=64 velocity=35 time=120
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=76 velocity=38 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=34 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=41 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=37 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=46 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=71 velocity=39 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=74 velocity=48 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=72 velocity=39 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=69 velocity=48 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=60 velocity=34 time=120
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=64 velocity=37 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=69 velocity=41 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=71 velocity=45 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=64 velocity=37 time=120
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=72 velocity=40 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=71 velocity=38 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=69 velocity=40 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=76 velocity=36 time=240
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=33 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=39 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=36 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=45 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=71 velocity=40 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=74 velocity=47 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=72 velocity=39 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=69 velocity=51 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=60 velocity=34 time=120
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=64 velocity=38 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=69 velocity=42 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=71 velocity=46 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=64 velocity=36 time=120
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=68 velocity=39 time=0
note_on channel=0 note=68 velocity=0 time=120
note_on channel=0 note=71 velocity=42 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=72 velocity=45 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=64 velocity=35 time=120
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=76 velocity=38 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=34 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=41 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=75 velocity=37 time=0
note_on channel=0 note=75 velocity=0 time=120
note_on channel=0 note=76 velocity=46 time=0
note_on channel=0 note=76 velocity=0 time=120
note_on channel=0 note=71 velocity=39 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=74 velocity=48 time=0
note_on channel=0 note=74 velocity=0 time=120
note_on channel=0 note=72 velocity=39 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=69 velocity=48 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=60 velocity=34 time=120
note_on channel=0 note=60 velocity=0 time=120
note_on channel=0 note=64 velocity=37 time=0
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=69 velocity=41 time=0
note_on channel=0 note=69 velocity=0 time=120
note_on channel=0 note=71 velocity=45 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=64 velocity=37 time=120
note_on channel=0 note=64 velocity=0 time=120
note_on channel=0 note=72 velocity=40 time=0
note_on channel=0 note=72 velocity=0 time=120
note_on channel=0 note=71 velocity=38 time=0
note_on channel=0 note=71 velocity=0 time=120
note_on channel=0 note=69 velocity=40 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=71 velocity=42 time=120
