Track 3: Piano RH
MetaMessage('track_name', name='Piano RH', time=0)
control_change channel=12 control=0 value=0 time=0
program_change channel=12 program=0 time=0
control_change channel=12 control=7 value=127 time=0
control_change channel=12 control=10 value=94 time=0
MetaMessage('key_signature', key='C', time=0)
pitchwheel channel=12 pitch=0 time=2
control_change channel=12 control=11 value=127 time=4
control_change channel=12 control=64 value=0 time=2
control_change channel=12 control=1 value=0 time=4
note_on channel=12 note=76 velocity=120 time=4
note_off channel=12 note=76 velocity=64 time=92
note_on channel=12 note=75 velocity=120 time=6
note_off channel=12 note=75 velocity=64 time=94
note_on channel=12 note=76 velocity=120 time=0
note_off channel=12 note=76 velocity=64 time=92
note_on channel=12 note=75 velocity=120 time=4
note_off channel=12 note=75 velocity=64 time=92
note_on channel=12 note=76 velocity=120 time=4
note_off channel=12 note=76 velocity=64 time=92
note_on channel=12 note=71 velocity=120 time=4
note_off channel=12 note=71 velocity=64 time=92
note_on channel=12 note=74 velocity=120 time=6
note_off channel=12 note=74 velocity=64 time=94
note_on channel=12 note=72 velocity=120 time=2
note_off channel=12 note=72 velocity=64 time=94
note_on channel=12 note=69 velocity=120 time=0
note_off channel=12 note=69 velocity=64 time=188
note_on channel=12 note=60 velocity=120 time=100
note_off channel=12 note=60 velocity=64 time=92
note_on channel=12 note=64 velocity=120 time=6
note_off channel=12 note=64 velocity=64 time=94
note_on channel=12 note=69 velocity=120 time=2
note_off channel=12 note=69 velocity=64 time=94
note_on channel=12 note=71 velocity=120 time=0
note_off channel=12 note=71 velocity=64 time=188
note_on channel=12 note=64 velocity=120 time=102
note_off channel=12 note=64 velocity=64 time=94
note_on channel=12 note=68 velocity=120 time=2
note_off channel=12 note=68 velocity=64 time=94
note_on channel=12 note=71 velocity=120 time=0
note_off channel=12 note=71 velocity=64 time=92
note_on channel=12 note=72 velocity=120 time=4
note_off channel=12 note=72 velocity=64 time=188
note_on channel=12 note=64 velocity=120 time=100
note_off channel=12 note=64 velocity=64 time=92
note_on channel=12 note=76 velocity=120 time=4
note_off channel=12 note=76 velocity=64 time=92
note_on channel=12 note=75 velocity=120 time=4
note_off channel=12 note=75 velocity=64 time=92
note_on channel=12 note=76 velocity=120 time=4
note_off channel=12 note=76 velocity=64 time=92
note_on channel=12 note=75 velocity=120 time=6
note_off channel=12 note=75 velocity=64 time=94
note_on channel=12 note=76 velocity=120 time=0
note_off channel=12 note=76 velocity=64 time=92
note_on channel=12 note=71 velocity=120 time=4
note_off channel=12 note=71 velocity=64 time=92
note_on channel=12 note=74 velocity=120 time=6
note_off channel=12 note=74 velocity=64 time=94
note_on channel=12 note=72 velocity=120 time=0
note_off channel=12 note=72 velocity=64 time=92
note_on channel=12 note=69 velocity=120 time=4
note_off channel=12 note=69 velocity=64 time=188
note_on channel=12 note=60 velocity=120 time=102
note_off channel=12 note=60 velocity=64 time=94
note_on channel=12 note=64 velocity=120 time=0
note_off channel=12 note=64 velocity=64 time=92
note_on channel=12 note=69 velocity=120 time=6
note_off channel=12 note=69 velocity=64 time=94
note_on channel=12 note=71 velocity=120 time=0
note_off channel=12 note=71 velocity=64 time=284
note_on channel=12 note=62 velocity=120 time=4
note_on channel=12 note=72 velocity=120 time=98
note_off channel=12 note=72 velocity=64 time=94
note_on channel=12 note=71 velocity=120 time=0
note_off channel=12 note=62 velocity=64 time=92
note_off channel=12 note=71 velocity=64 time=0
note_on channel=12 note=69 velocity=120 time=4
note_on channel=12 note=60 velocity=120 time=2
note_off channel=12 note=69 velocity=64 time=186
note_off channel=12 note=60 velocity=64 time=4
note_on channel=12 note=76 velocity=120 time=194
note_off channel=12 note=76 velocity=64 time=94
note_on channel=12 note=75 velocity=120 time=0
note_off channel=12 note=75 velocity=64 time=92
note_on channel=12 note=76 velocity=120 time=6
