Track 0: 
UnknownMetaMessage(type_byte=8, data=(76, 111, 115, 116, 32, 87, 111, 111, 100, 115, 32, 40, 80, 105, 97, 110, 111, 41, 0), time=0)
UnknownMetaMessage(type_byte=10, data=(75, 111, 106, 105, 32, 75, 111, 110, 100, 111, 0), time=0)
MetaMessage('time_signature', numerator=2, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)
MetaMessage('key_signature', key='C', time=0)
MetaMessage('set_tempo', tempo=500000, time=0)
program_change channel=0 program=0 time=0
note_on channel=0 note=65 velocity=96 time=0
control_change channel=0 control=7 value=100 time=2
control_change channel=0 control=10 value=64 time=2
control_change channel=0 control=91 value=30 time=2
control_change channel=0 control=93 value=30 time=2
note_on channel=0 note=65 velocity=0 time=231
note_on channel=0 note=69 velocity=96 time=1
note_on channel=0 note=69 velocity=0 time=239
note_on channel=0 note=71 velocity=96 time=1
note_on channel=0 note=71 velocity=0 time=479
note_on channel=0 note=65 velocity=96 time=1
note_on channel=0 note=65 velocity=0 time=239
note_on channel=0 note=69 velocity=96 time=1
note_on channel=0 note=69 velocity=0 time=239
note_on channel=0 note=71 velocity=96 time=1
note_on channel=0 note=71 velocity=0 time=479
note_on channel=0 note=65 velocity=96 time=1
note_on channel=0 note=65 velocity=0 time=239
note_on channel=0 note=69 velocity=96 time=1
note_on channel=0 note=69 velocity=0 time=239
note_on channel=0 note=71 velocity=96 time=1
note_on channel=0 note=71 velocity=0 time=239
note_on channel=0 note=76 velocity=96 time=1
note_on channel=0 note=76 velocity=0 time=239
note_on channel=0 note=74 velocity=96 time=1
note_on channel=0 note=74 velocity=0 time=479
note_on channel=0 note=71 velocity=96 time=1
note_on channel=0 note=71 velocity=0 time=239
note_on channel=0 note=72 velocity=96 time=1
note_on channel=0 note=72 velocity=0 time=239
note_on channel=0 note=71 velocity=96 time=1
note_on channel=0 note=71 velocity=0 time=239
note_on channel=0 note=67 velocity=96 time=1
note_on channel=0 note=67 velocity=0 time=239
note_on channel=0 note=64 velocity=96 time=1
note_on channel=0 note=64 velocity=0 time=959
note_on channel=0 note=62 velocity=96 time=241
note_on channel=0 note=62 velocity=0 time=239
note_on channel=0 note=64 velocity=96 time=1
note_on channel=0 note=64 velocity=0 time=239
note_on channel=0 note=67 velocity=96 time=1
note_on channel=0 note=67 velocity=0 time=239
note_on channel=0 note=64 velocity=96 time=1
note_on channel=0 note=64 velocity=0 time=1439
note_on channel=0 note=65 velocity=96 time=1
note_on channel=0 note=65 velocity=0 time=239
