Track 1: RightHand
MetaMessage('track_name', name='RightHand', time=0)
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=93 value=0 time=0
control_change channel=0 control=91 value=0 time=0
note_on channel=0 note=64 velocity=121 time=1920
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=64 velocity=123 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=65 velocity=115 time=0
note_off channel=0 note=65 velocity=127 time=480
note_on channel=0 note=67 velocity=118 time=0
note_off channel=0 note=67 velocity=127 time=480
note_on channel=0 note=67 velocity=122 time=0
note_off channel=0 note=67 velocity=127 time=480
note_on channel=0 note=65 velocity=114 time=0
note_off channel=0 note=65 velocity=127 time=480
note_on channel=0 note=64 velocity=116 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=62 velocity=115 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=60 velocity=116 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=60 velocity=121 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=62 velocity=115 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=64 velocity=121 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=64 velocity=123 time=0
note_off channel=0 note=64 velocity=127 time=720
note_on channel=0 note=62 velocity=107 time=0
note_off channel=0 note=62 velocity=127 time=240
note_on channel=0 note=62 velocity=117 time=0
note_off channel=0 note=62 velocity=127 time=960
note_on channel=0 note=64 velocity=121 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=64 velocity=121 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=65 velocity=114 time=0
note_off channel=0 note=65 velocity=127 time=480
note_on channel=0 note=67 velocity=119 time=0
note_off channel=0 note=67 velocity=127 time=480
note_on channel=0 note=67 velocity=122 time=0
note_off channel=0 note=67 velocity=127 time=480
note_on channel=0 note=65 velocity=107 time=0
note_off channel=0 note=65 velocity=127 time=480
note_on channel=0 note=64 velocity=111 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=62 velocity=117 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=60 velocity=114 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=60 velocity=118 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=62 velocity=117 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=64 velocity=117 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=62 velocity=118 time=0
note_off channel=0 note=62 velocity=127 time=720
note_on channel=0 note=60 velocity=116 time=0
note_off channel=0 note=60 velocity=127 time=240
note_on channel=0 note=60 velocity=124 time=0
note_off channel=0 note=60 velocity=127 time=960
note_on channel=0 note=62 velocity=121 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=62 velocity=119 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=64 velocity=119 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=60 velocity=115 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=62 velocity=117 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=64 velocity=122 time=0
note_off channel=0 note=64 velocity=127 time=240
note_on channel=0 note=65 velocity=104 time=0
note_off channel=0 note=65 velocity=127 time=240
note_on channel=0 note=64 velocity=119 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=60 velocity=115 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=62 velocity=115 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=64 velocity=119 time=0
note_off channel=0 note=64 velocity=127 time=240
note_on channel=0 note=65 velocity=112 time=0
note_off channel=0 note=65 velocity=127 time=240
note_on channel=0 note=64 velocity=122 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=62 velocity=116 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=60 velocity=118 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=62 velocity=109 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=55 velocity=117 time=0
note_off channel=0 note=55 velocity=127 time=480
note_on channel=0 note=64 velocity=124 time=0
note_off channel=0 note=64 velocity=127 time=960
note_on channel=0 note=64 velocity=124 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=65 velocity=99 time=0
note_off channel=0 note=65 velocity=127 time=480
note_on channel=0 note=67 velocity=114 time=0
note_off channel=0 note=67 velocity=127 time=480
note_on channel=0 note=67 velocity=115 time=0
note_off channel=0 note=67 velocity=127 time=480
note_on channel=0 note=65 velocity=108 time=0
note_off channel=0 note=65 velocity=127 time=480
note_on channel=0 note=64 velocity=114 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=62 velocity=113 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=60 velocity=115 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=60 velocity=117 time=0
note_off channel=0 note=60 velocity=127 time=480
note_on channel=0 note=62 velocity=113 time=0
note_off channel=0 note=62 velocity=127 time=480
note_on channel=0 note=64 velocity=121 time=0
note_off channel=0 note=64 velocity=127 time=480
note_on channel=0 note=62 velocity=122 time=0
note_off channel=0 note=62 velocity=127 time=720
note_on channel=0 note=60 velocity=115 time=0
note_off channel=0 note=60 velocity=127 time=240
note_on channel=0 note=60 velocity=126 time=0
note_off channel=0 note=60 velocity=127 time=960
MetaMessage('end_of_track', time=0)
