Track 2: LeftHand
MetaMessage('track_name', name='LeftHand', time=0)
program_change channel=0 program=0 time=0
control_change channel=0 control=7 value=100 time=0
control_change channel=0 control=10 value=64 time=0
control_change channel=0 control=93 value=0 time=0
control_change channel=0 control=91 value=0 time=0
note_on channel=0 note=55 velocity=110 time=1920
note_on channel=0 note=48 velocity=111 time=0
note_off channel=0 note=55 velocity=127 time=1920
note_off channel=0 note=48 velocity=127 time=0
note_on channel=0 note=55 velocity=115 time=0
note_on channel=0 note=47 velocity=118 time=0
note_off channel=0 note=55 velocity=127 time=1920
note_off channel=0 note=47 velocity=127 time=0
note_on channel=0 note=52 velocity=121 time=0
note_on channel=0 note=55 velocity=121 time=0
note_off channel=0 note=52 velocity=127 time=960
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=50 velocity=117 time=0
note_off channel=0 note=50 velocity=127 time=480
note_on channel=0 note=48 velocity=112 time=0
note_off channel=0 note=48 velocity=127 time=480
note_on channel=0 note=55 velocity=116 time=0
note_off channel=0 note=55 velocity=127 time=1920
note_on channel=0 note=55 velocity=119 time=0
note_on channel=0 note=48 velocity=114 time=0
note_off channel=0 note=55 velocity=127 time=1920
note_off channel=0 note=48 velocity=127 time=0
note_on channel=0 note=55 velocity=117 time=0
note_on channel=0 note=47 velocity=114 time=0
note_off channel=0 note=55 velocity=127 time=1920
note_off channel=0 note=47 velocity=127 time=0
note_on channel=0 note=55 velocity=107 time=0
note_on channel=0 note=52 velocity=106 time=0
note_off channel=0 note=55 velocity=127 time=960
note_off channel=0 note=52 velocity=127 time=0
note_on channel=0 note=50 velocity=121 time=0
note_off channel=0 note=50 velocity=127 time=480
note_on channel=0 note=48 velocity=95 time=0
note_off channel=0 note=48 velocity=127 time=480
note_on channel=0 note=55 velocity=110 time=0
note_on channel=0 note=53 velocity=110 time=0
note_off channel=0 note=55 velocity=127 time=720
note_off channel=0 note=53 velocity=127 time=0
note_on channel=0 note=52 velocity=111 time=0
note_on channel=0 note=55 velocity=111 time=0
note_off channel=0 note=52 velocity=127 time=240
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=52 velocity=114 time=0
note_on channel=0 note=55 velocity=114 time=0
note_off channel=0 note=52 velocity=127 time=960
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=55 velocity=106 time=0
note_on channel=0 note=47 velocity=110 time=0
note_off channel=0 note=55 velocity=127 time=960
note_off channel=0 note=47 velocity=127 time=0
note_on channel=0 note=48 velocity=114 time=0
note_on channel=0 note=55 velocity=112 time=0
note_off channel=0 note=48 velocity=127 time=960
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=55 velocity=116 time=0
note_on channel=0 note=47 velocity=114 time=0
note_off channel=0 note=55 velocity=127 time=960
note_off channel=0 note=47 velocity=127 time=0
note_on channel=0 note=48 velocity=115 time=0
note_on channel=0 note=55 velocity=118 time=0
note_off channel=0 note=48 velocity=127 time=960
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=55 velocity=116 time=0
note_on channel=0 note=47 velocity=114 time=0
note_off channel=0 note=55 velocity=127 time=960
note_off channel=0 note=47 velocity=127 time=0
note_on channel=0 note=56 velocity=100 time=0
note_off channel=0 note=56 velocity=127 time=960
note_on channel=0 note=57 velocity=100 time=0
note_off channel=0 note=57 velocity=127 time=480
note_on channel=0 note=54 velocity=100 time=0
note_off channel=0 note=54 velocity=127 time=480
note_on channel=0 note=55 velocity=116 time=0
note_off channel=0 note=55 velocity=127 time=960
note_on channel=0 note=48 velocity=111 time=0
note_on channel=0 note=55 velocity=110 time=0
note_off channel=0 note=48 velocity=127 time=1920
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=47 velocity=118 time=0
note_on channel=0 note=55 velocity=115 time=0
note_off channel=0 note=47 velocity=127 time=1920
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=52 velocity=106 time=0
note_on channel=0 note=55 velocity=107 time=0
note_off channel=0 note=52 velocity=127 time=960
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=50 velocity=121 time=0
note_off channel=0 note=50 velocity=127 time=480
note_on channel=0 note=48 velocity=95 time=0
note_off channel=0 note=48 velocity=127 time=480
note_on channel=0 note=53 velocity=110 time=0
note_on channel=0 note=55 velocity=110 time=0
note_off channel=0 note=53 velocity=127 time=720
note_off channel=0 note=55 velocity=127 time=0
note_on channel=0 note=55 velocity=111 time=0
note_on channel=0 note=52 velocity=111 time=0
note_off channel=0 note=55 velocity=127 time=240
note_off channel=0 note=52 velocity=127 time=0
note_on channel=0 note=55 velocity=114 time=0
note_on channel=0 note=52 velocity=114 time=0
note_off channel=0 note=55 velocity=127 time=960
note_off channel=0 note=52 velocity=127 time=0
MetaMessage('end_of_track', time=0)
