Track 1: Piano right
MetaMessage('track_name', name='Piano right', time=0)
program_change channel=0 program=0 time=0
note_on channel=0 note=72 velocity=70 time=0
note_on channel=0 note=72 velocity=0 time=480
note_on channel=0 note=76 velocity=58 time=0
note_on channel=0 note=76 velocity=0 time=240
note_on channel=0 note=72 velocity=52 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=67 velocity=47 time=0
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=67 velocity=43 time=300
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=72 velocity=70 time=300
note_on channel=0 note=72 velocity=0 time=480
note_on channel=0 note=76 velocity=57 time=0
note_on channel=0 note=76 velocity=0 time=240
note_on channel=0 note=72 velocity=51 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=67 velocity=47 time=0
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=79 velocity=58 time=300
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=77 velocity=65 time=240
note_on channel=0 note=76 velocity=48 time=240
note_on channel=0 note=77 velocity=0 time=24
note_on channel=0 note=74 velocity=55 time=216
note_on channel=0 note=76 velocity=0 time=24
note_on channel=0 note=72 velocity=47 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=71 velocity=61 time=216
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=72 velocity=54 time=216
note_on channel=0 note=71 velocity=0 time=24
note_on channel=0 note=71 velocity=62 time=216
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=72 velocity=54 time=216
note_on channel=0 note=71 velocity=0 time=24
note_on channel=0 note=74 velocity=68 time=216
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=72 velocity=59 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=71 velocity=56 time=216
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=69 velocity=53 time=216
note_on channel=0 note=71 velocity=0 time=24
note_on channel=0 note=67 velocity=70 time=216
note_on channel=0 note=69 velocity=0 time=24
note_on channel=0 note=67 velocity=0 time=456
note_on channel=0 note=72 velocity=41 time=480
note_on channel=0 note=72 velocity=0 time=480
note_on channel=0 note=76 velocity=34 time=0
note_on channel=0 note=76 velocity=0 time=240
note_on channel=0 note=72 velocity=28 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=67 velocity=28 time=0
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=67 velocity=24 time=300
note_on channel=0 note=67 velocity=0 time=180
note_on channel=0 note=76 velocity=41 time=300
note_on channel=0 note=76 velocity=0 time=480
note_on channel=0 note=79 velocity=35 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=76 velocity=30 time=0
note_on channel=0 note=76 velocity=0 time=240
note_on channel=0 note=72 velocity=28 time=0
note_on channel=0 note=72 velocity=0 time=480
note_on channel=0 note=76 velocity=39 time=0
note_on channel=0 note=76 velocity=0 time=240
note_on channel=0 note=72 velocity=34 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=74 velocity=38 time=0
note_on channel=0 note=74 velocity=0 time=240
note_on channel=0 note=71 velocity=31 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=72 velocity=34 time=0
note_on channel=0 note=72 velocity=0 time=240
note_on channel=0 note=69 velocity=29 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=71 velocity=35 time=0
note_on channel=0 note=71 velocity=0 time=240
note_on channel=0 note=67 velocity=31 time=0
note_on channel=0 note=67 velocity=0 time=240
note_on channel=0 note=69 velocity=36 time=0
note_on channel=0 note=69 velocity=0 time=240
note_on channel=0 note=66 velocity=31 time=0
note_on channel=0 note=66 velocity=0 time=240
note_on channel=0 note=67 velocity=68 time=0
note_on channel=0 note=69 velocity=54 time=240
note_on channel=0 note=67 velocity=0 time=24
note_on channel=0 note=71 velocity=60 time=216
note_on channel=0 note=69 velocity=0 time=24
note_on channel=0 note=72 velocity=58 time=216
note_on channel=0 note=71 velocity=0 time=24
note_on channel=0 note=74 velocity=68 time=216
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=76 velocity=58 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=78 velocity=62 time=216
note_on channel=0 note=76 velocity=0 time=24
note_on channel=0 note=79 velocity=58 time=216
note_on channel=0 note=78 velocity=0 time=24
note_on channel=0 note=79 velocity=0 time=216
note_on channel=0 note=69 velocity=66 time=0
note_on channel=0 note=69 velocity=0 time=480
note_on channel=0 note=81 velocity=54 time=0
note_on channel=0 note=81 velocity=0 time=240
note_on channel=0 note=81 velocity=57 time=240
note_on channel=0 note=81 velocity=0 time=240
note_on channel=0 note=81 velocity=53 time=240
note_on channel=0 note=81 velocity=0 time=240
note_on channel=0 note=71 velocity=68 time=240
note_on channel=0 note=72 velocity=55 time=240
note_on channel=0 note=71 velocity=0 time=24
note_on channel=0 note=74 velocity=60 time=216
note_on channel=0 note=72 velocity=0 time=24
note_on channel=0 note=76 velocity=56 time=216
note_on channel=0 note=74 velocity=0 time=24
note_on channel=0 note=78 velocity=68 time=216
note_on channel=0 note=76 velocity=0 time=24
note_on channel=0 note=79 velocity=59 time=216
note_on channel=0 note=78 velocity=0 time=24
note_on channel=0 note=81 velocity=62 time=216
note_on channel=0 note=79 velocity=0 time=24
note_on channel=0 note=83 velocity=58 time=216
note_on channel=0 note=81 velocity=0 time=24
note_on channel=0 note=83 velocity=0 time=216
note_on channel=0 note=72 velocity=66 time=0
note_on channel=0 note=72 velocity=0 time=480
note_on channel=0 note=84 velocity=53 time=0
note_on channel=0 note=84 velocity=0 time=240
note_on channel=0 note=84 velocity=57 time=240
note_on channel=0 note=84 velocity=0 time=240
note_on channel=0 note=84 velocity=55 time=240
note_on channel=0 note=84 velocity=0 time=240
note_on channel=0 note=74 velocity=68 time=240
note_on channel=0 note=74 velocity=0 time=240
note_on channel=0 note=79 velocity=59 time=0
note_on channel=0 note=79 velocity=0 time=240
note_on channel=0 note=83 velocity=63 time=0
note_on channel=0 note=83 velocity=0 time=240
note_on channel=0 note=86 velocity=61 time=0
note_on channel=0 note=86 velocity=0 time=240
note_on channel=0 note=84 velocity=68 time=0
note_on channel=0 note=83 velocity=58 time=240
note_on channel=0 note=84 velocity=0 time=24
note_on channel=0 note=81 velocity=62 time=216
note_on channel=0 note=83 velocity=0 time=24
note_on channel=0 note=79 velocity=59 time=216
note_on channel=0 note=81 velocity=0 time=24
note_on channel=0 note=78 velocity=68 time=216
note_on channel=0 note=79 velocity=0 time=24
note_on channel=0 note=76 velocity=61 time=216
note_on channel=0 note=78 velocity=0 time=24
note_on channel=0 note=79 velocity=65 time=216
note_on channel=0 note=76 velocity=0 time=24
