Track 2: Piano left
MetaMessage('track_name', name='Piano left', time=0)
program_change channel=0 program=0 time=0
note_on channel=0 note=48 velocity=40 time=0
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=48 velocity=40 time=1440
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=48 velocity=40 time=1440
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=48 velocity=35 time=480
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=43 velocity=40 time=480
note_on channel=0 note=43 velocity=0 time=480
note_on channel=0 note=55 velocity=48 time=480
note_on channel=0 note=53 velocity=38 time=240
note_on channel=0 note=55 velocity=0 time=24
note_on channel=0 note=52 velocity=40 time=216
note_on channel=0 note=53 velocity=0 time=24
note_on channel=0 note=50 velocity=38 time=216
note_on channel=0 note=52 velocity=0 time=24
note_on channel=0 note=48 velocity=23 time=216
note_on channel=0 note=50 velocity=0 time=24
note_on channel=0 note=48 velocity=0 time=456
note_on channel=0 note=60 velocity=23 time=1440
note_on channel=0 note=60 velocity=0 time=480
note_on channel=0 note=54 velocity=23 time=960
note_on channel=0 note=54 velocity=0 time=480
note_on channel=0 note=55 velocity=23 time=0
note_on channel=0 note=55 velocity=0 time=480
note_on channel=0 note=48 velocity=21 time=0
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=50 velocity=24 time=0
note_on channel=0 note=50 velocity=0 time=480
note_on channel=0 note=38 velocity=20 time=0
note_on channel=0 note=38 velocity=0 time=480
note_on channel=0 note=43 velocity=40 time=0
note_on channel=0 note=43 velocity=0 time=480
note_on channel=0 note=54 velocity=40 time=1440
note_on channel=0 note=54 velocity=0 time=240
note_on channel=0 note=62 velocity=35 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=57 velocity=35 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=62 velocity=35 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=54 velocity=40 time=0
note_on channel=0 note=54 velocity=0 time=240
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=57 velocity=37 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=55 velocity=40 time=0
note_on channel=0 note=55 velocity=0 time=480
note_on channel=0 note=57 velocity=40 time=1440
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=62 velocity=35 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=60 velocity=35 time=0
note_on channel=0 note=60 velocity=0 time=240
note_on channel=0 note=62 velocity=35 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=57 velocity=40 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=60 velocity=37 time=0
note_on channel=0 note=60 velocity=0 time=240
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=59 velocity=40 time=0
note_on channel=0 note=59 velocity=0 time=480
note_on channel=0 note=60 velocity=40 time=1440
note_on channel=0 note=60 velocity=0 time=480
note_on channel=0 note=48 velocity=37 time=480
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=50 velocity=40 time=480
note_on channel=0 note=50 velocity=0 time=480
note_on channel=0 note=38 velocity=39 time=480
note_on channel=0 note=38 velocity=0 time=480
note_on channel=0 note=43 velocity=48 time=480
note_on channel=0 note=43 velocity=0 time=240
note_on channel=0 note=47 velocity=38 time=0
note_on channel=0 note=47 velocity=0 time=240
note_on channel=0 note=50 velocity=40 time=0
note_on channel=0 note=50 velocity=0 time=240
note_on channel=0 note=55 velocity=38 time=0
note_on channel=0 note=55 velocity=0 time=240
note_on channel=0 note=43 velocity=48 time=0
note_on channel=0 note=43 velocity=0 time=480
note_on channel=0 note=48 velocity=40 time=480
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=48 velocity=40 time=1440
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=48 velocity=40 time=1440
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=48 velocity=35 time=480
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=43 velocity=40 time=480
note_on channel=0 note=43 velocity=0 time=480
note_on channel=0 note=55 velocity=48 time=480
note_on channel=0 note=53 velocity=38 time=240
note_on channel=0 note=55 velocity=0 time=24
note_on channel=0 note=52 velocity=40 time=216
note_on channel=0 note=53 velocity=0 time=24
note_on channel=0 note=50 velocity=38 time=216
note_on channel=0 note=52 velocity=0 time=24
note_on channel=0 note=48 velocity=23 time=216
note_on channel=0 note=50 velocity=0 time=24
note_on channel=0 note=48 velocity=0 time=456
note_on channel=0 note=60 velocity=23 time=1440
note_on channel=0 note=60 velocity=0 time=480
note_on channel=0 note=54 velocity=23 time=960
note_on channel=0 note=54 velocity=0 time=480
note_on channel=0 note=55 velocity=23 time=0
note_on channel=0 note=55 velocity=0 time=480
note_on channel=0 note=48 velocity=21 time=0
note_on channel=0 note=48 velocity=0 time=480
note_on channel=0 note=50 velocity=24 time=0
note_on channel=0 note=50 velocity=0 time=480
note_on channel=0 note=38 velocity=20 time=0
note_on channel=0 note=38 velocity=0 time=480
note_on channel=0 note=43 velocity=40 time=0
note_on channel=0 note=43 velocity=0 time=480
note_on channel=0 note=54 velocity=40 time=1440
note_on channel=0 note=54 velocity=0 time=240
note_on channel=0 note=62 velocity=35 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=57 velocity=35 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=62 velocity=35 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=54 velocity=40 time=0
note_on channel=0 note=54 velocity=0 time=240
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=57 velocity=37 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=55 velocity=40 time=0
note_on channel=0 note=55 velocity=0 time=480
note_on channel=0 note=57 velocity=40 time=1440
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=62 velocity=35 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=60 velocity=35 time=0
note_on channel=0 note=60 velocity=0 time=240
note_on channel=0 note=62 velocity=35 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=57 velocity=40 time=0
note_on channel=0 note=57 velocity=0 time=240
note_on channel=0 note=62 velocity=37 time=0
note_on channel=0 note=62 velocity=0 time=240
note_on channel=0 note=60 velocity=37 time=0
note_on channel=0 note=60 velocity=0 time=240
note_on channel=0 note=62 velocity=37 time=0
