Track 3: Pedale
MetaMessage('track_name', name='Pedale', time=0)
program_change channel=0 program=0 time=0
control_change channel=0 control=64 value=127 time=18
control_change channel=0 control=64 value=0 time=960
control_change channel=0 control=64 value=127 time=1002
control_change channel=0 control=64 value=0 time=920
control_change channel=0 control=64 value=127 time=4964
control_change channel=0 control=64 value=0 time=792
control_change channel=0 control=64 value=127 time=944
control_change channel=0 control=64 value=0 time=965
control_change channel=0 control=64 value=127 time=602
control_change channel=0 control=64 value=0 time=359
control_change channel=0 control=64 value=127 time=143
control_change channel=0 control=64 value=0 time=347
control_change channel=0 control=64 value=127 time=110
control_change channel=0 control=64 value=0 time=369
control_change channel=0 control=64 value=127 time=134
control_change channel=0 control=64 value=0 time=348
control_change channel=0 control=64 value=127 time=132
control_change channel=0 control=64 value=0 time=335
control_change channel=0 control=64 value=127 time=2076
control_change channel=0 control=64 value=0 time=1760
control_change channel=0 control=64 value=127 time=2033
control_change channel=0 control=64 value=0 time=1807
control_change channel=0 control=64 value=127 time=184
control_change channel=0 control=64 value=0 time=793
control_change channel=0 control=64 value=127 time=4896
control_change channel=0 control=64 value=0 time=1341
control_change channel=0 control=64 value=127 time=484
control_change channel=0 control=64 value=0 time=960
control_change channel=0 control=64 value=127 time=1002
control_change channel=0 control=64 value=0 time=920
control_change channel=0 control=64 value=127 time=4964
control_change channel=0 control=64 value=0 time=792
control_change channel=0 control=64 value=127 time=944
control_change channel=0 control=64 value=0 time=965
control_change channel=0 control=64 value=127 time=602
control_change channel=0 control=64 value=0 time=359
control_change channel=0 control=64 value=127 time=143
control_change channel=0 control=64 value=0 time=347
control_change channel=0 control=64 value=127 time=110
control_change channel=0 control=64 value=0 time=369
control_change channel=0 control=64 value=127 time=134
control_change channel=0 control=64 value=0 time=348
control_change channel=0 control=64 value=127 time=132
control_change channel=0 control=64 value=0 time=335
control_change channel=0 control=64 value=127 time=2076
control_change channel=0 control=64 value=0 time=1760
control_change channel=0 control=64 value=127 time=2033
control_change channel=0 control=64 value=0 time=1807
control_change channel=0 control=64 value=127 time=184
control_change channel=0 control=64 value=0 time=793
control_change channel=0 control=64 value=127 time=4896
control_change channel=0 control=64 value=0 time=1341
control_change channel=0 control=64 value=127 time=650
control_change channel=0 control=64 value=0 time=792
control_change channel=0 control=64 value=127 time=1128
control_change channel=0 control=64 value=0 time=792
control_change channel=0 control=64 value=127 time=1081
control_change channel=0 control=64 value=0 time=839
control_change channel=0 control=64 value=127 time=304
control_change channel=0 control=64 value=0 time=640
control_change channel=0 control=64 value=127 time=586
control_change channel=0 control=64 value=0 time=385
control_change channel=0 control=64 value=127 time=1076
control_change channel=0 control=64 value=0 time=1811
control_change channel=0 control=64 value=127 time=208
control_change channel=0 control=64 value=0 time=1707
control_change channel=0 control=64 value=127 time=4007
control_change channel=0 control=64 value=0 time=798
control_change channel=0 control=64 value=127 time=1002
control_change channel=0 control=64 value=0 time=920
control_change channel=0 control=64 value=127 time=4918
control_change channel=0 control=64 value=0 time=840
control_change channel=0 control=64 value=127 time=1140
control_change channel=0 control=64 value=0 time=780
control_change channel=0 control=64 value=0 time=2866
control_change channel=0 control=64 value=127 time=2076
control_change channel=0 control=64 value=0 time=1760
control_change channel=0 control=64 value=127 time=2033
control_change channel=0 control=64 value=0 time=1807
control_change channel=0 control=64 value=127 time=184
control_change channel=0 control=64 value=0 time=793
control_change channel=0 control=64 value=127 time=4896
control_change channel=0 control=64 value=0 time=1341
control_change channel=0 control=64 value=127 time=650
control_change channel=0 control=64 value=0 time=792
control_change channel=0 control=64 value=127 time=1128
control_change channel=0 control=64 value=0 time=792
control_change channel=0 control=64 value=127 time=1081
control_change channel=0 control=64 value=0 time=839
control_change channel=0 control=64 value=127 time=304
control_change channel=0 control=64 value=0 time=640
control_change channel=0 control=64 value=127 time=586
control_change channel=0 control=64 value=0 time=385
control_change channel=0 control=64 value=127 time=1076
control_change channel=0 control=64 value=0 time=1811
control_change channel=0 control=64 value=127 time=208
control_change channel=0 control=64 value=0 time=1707
control_change channel=0 control=64 value=127 time=4007
control_change channel=0 control=64 value=0 time=798
control_change channel=0 control=64 value=127 time=1002
control_change channel=0 control=64 value=0 time=920
control_change channel=0 control=64 value=127 time=4918
control_change channel=0 control=64 value=0 time=840
control_change channel=0 control=64 value=127 time=1140
control_change channel=0 control=64 value=0 time=780
control_change channel=0 control=64 value=0 time=2866
control_change channel=0 control=64 value=127 time=2076
control_change channel=0 control=64 value=0 time=1760
control_change channel=0 control=64 value=127 time=2033
control_change channel=0 control=64 value=0 time=1807
control_change channel=0 control=64 value=127 time=184
control_change channel=0 control=64 value=0 time=793
control_change channel=0 control=64 value=127 time=4896
control_change channel=0 control=64 value=0 time=1341
MetaMessage('end_of_track', time=0)
